Generation,Sample_ID,Sex,Morph,Sex_Morph,Juv_Forewing_Length,Juv_Hindwing_Length,Juv_Ave_Pro,Pro_Juv1,Pro_Juv2,Pro_Juv3,Note,
F5_Longevity_2023,P136_SW_F19,F,Sw,F_Sw,1.99 ,4.59 ,3.73,3.74 ,3.70 ,3.76 ,,
F5_Longevity_2023,P136_SW_F20,F,Sw,F_Sw,2.40 ,4.49 ,3.50,3.49 ,3.51 ,3.51 ,,
F5_Longevity_2023,P136_SW_F21,F,Sw,F_Sw,2.53 ,4.55 ,3.38,3.44 ,3.32 ,3.37 ,,
F5_Longevity_2023,P136_SW_F22,F,Sw,F_Sw,2.72 ,4.92 ,3.84,3.88 ,3.80 ,3.84 ,,
F5_Longevity_2023,P136_SW_F23,F,Sw,F_Sw,2.08 ,4.06 ,3.47,3.47 ,3.51 ,3.44 ,,
F5_Longevity_2023,P136_SW_F24,F,Sw,F_Sw,2.03 ,4.34 ,3.36,3.35 ,3.40 ,3.34 ,,
F5_Longevity_2023,P136_SW_F25,F,Sw,F_Sw,2.23 ,4.64 ,3.60,3.59 ,3.57 ,3.65 ,,
F5_Longevity_2023,P136_SW16,M,Sw,M_Sw,2.27 ,4.76 ,3.99,3.95 ,4.03 ,3.98 ,,
F5_Longevity_2023,P136_SW17,M,Sw,M_Sw,2.86 ,4.88 ,3.84,3.86 ,3.81 ,3.84 ,,
F5_Longevity_2023,P136_SW18,M,Sw,M_Sw,2.75 ,4.35 ,3.50,3.47 ,3.49 ,3.54 ,,
F5_Longevity_2023,P136_SW19,M,Sw,M_Sw,2.87 ,4.89 ,4.01,4.02 ,3.96 ,4.06 ,,
F5_Longevity_2023,P136_SW20,M,Sw,M_Sw,2.33 ,4.53 ,3.79,3.81 ,3.74 ,3.83 ,,
F5_Longevity_2023,P136_SW21,M,Sw,M_Sw,2.53 ,4.63 ,3.68,3.63 ,3.76 ,3.66 ,,
F5_Longevity_2023,P149_SW25,M,Sw,M_Sw,2.66 ,4.83 ,3.86,3.89 ,3.88 ,3.82 ,,
F5_Longevity_2023,P149_SW26,M,Sw,M_Sw,2.54 ,4.54 ,3.93,3.94 ,3.91 ,3.93 ,,
F5_Longevity_2023,P149_SW27,M,Sw,M_Sw,2.46 ,4.84 ,3.96,3.92 ,3.95 ,4.01 ,,
F5_Longevity_2023,P149_LW_F14,F,Lw,F_Lw,3.28 ,5.78 ,3.68,3.74 ,3.64 ,3.65 ,,
F5_Longevity_2023,P149_LW_F15,F,Lw,F_Lw,3.50 ,5.79 ,3.74,3.72 ,3.75 ,3.74 ,,
F5_Longevity_2023,P149_LW_F16,F,Lw,F_Lw,3.73 ,6.08 ,3.94,3.88 ,3.99 ,3.95 ,,
F5_Longevity_2023,P149_LW_F17,F,Lw,F_Lw,3.30 ,5.81 ,3.79,3.79 ,3.78 ,3.81 ,,
F5_Longevity_2023,P143_SW8,M,Sw,M_Sw,3.45 ,4.82 ,3.63,3.61 ,3.67 ,3.62 ,,
F5_Longevity_2023,P143_SW9,M,Sw,M_Sw,2.27 ,4.59 ,3.61,3.61 ,3.59 ,3.62 ,,
F5_Longevity_2023,P143_SW_F8,F,Sw,F_Sw,2.19 ,4.64 ,3.54,3.52 ,3.53 ,3.56 ,,
F5_Longevity_2023,P152_LW1,M,Lw,M_Lw,4.45 ,7.06 ,4.04,3.98 ,4.09 ,4.06 ,,
F5_Longevity_2023,P152_LW2,M,Lw,M_Lw,3.62 ,5.73 ,3.98,3.97 ,3.98 ,4.00 ,,
F5_Longevity_2023,P152_LW3,M,Lw,M_Lw,3.29 ,5.78 ,3.73,3.70 ,3.77 ,3.72 ,,
F5_Longevity_2023,P152_LW4,M,Lw,M_Lw,3.99 ,5.89 ,3.79,3.80 ,3.81 ,3.76 ,,
F5_Longevity_2023,P152_LW5,M,Lw,M_Lw,3.96 ,6.34 ,3.88,3.86 ,3.93 ,3.84 ,,
F5_Longevity_2023,P152_LW6,M,Lw,M_Lw,4.06 ,6.17 ,4.01,3.99 ,4.03 ,4.02 ,,
F5_Longevity_2023,P152_LW7,M,Lw,M_Lw,4.02 ,6.00 ,3.81,3.81 ,3.81 ,3.81 ,,
F5_Longevity_2023,P152_LW8,M,Lw,M_Lw,3.75 ,6.04 ,3.99,4.04 ,3.93 ,4.01 ,,
F5_Longevity_2023,P152_LW9,M,Lw,M_Lw,3.91 ,6.30 ,3.97,4.08 ,3.90 ,3.92 ,,
F5_Longevity_2023,P152_LW_F1,F,Lw,F_Lw,3.69 ,5.80 ,3.76,3.79 ,3.73 ,3.77 ,,
F5_Longevity_2023,P152_LW_F2,F,Lw,F_Lw,3.35 ,5.61 ,3.74,3.75 ,3.69 ,3.77 ,,
F5_Longevity_2023,P152_LW_F3,F,Lw,F_Lw,3.96 ,5.82 ,3.85,3.82 ,3.88 ,3.86 ,,
F5_Longevity_2023,P152_LW_F4,F,Lw,F_Lw,3.50 ,5.62 ,3.72,3.70 ,3.71 ,3.76 ,,
F5_Longevity_2023,P152_LW_F5,F,Lw,F_Lw,3.49 ,5.62 ,3.50,3.47 ,3.48 ,3.56 ,,
F5_Longevity_2023,P152_LW_F6,F,Lw,F_Lw,3.44 ,5.41 ,3.58,3.55 ,3.57 ,3.62 ,,
F5_Longevity_2023,P152_LW_F7,F,Lw,F_Lw,3.52 ,5.36 ,3.47,3.46 ,3.53 ,3.43 ,,
F5_Longevity_2023,P148_SW_F1,F,Sw,F_Sw,2.12 ,4.45 ,3.62,3.62 ,3.61 ,3.62 ,,
F5_Longevity_2023,P148_SW1,M,Sw,M_Sw,2.82 ,4.46 ,3.62,3.64 ,3.60 ,3.63 ,,
F5_Longevity_2023,P147_LW1,M,Lw,M_Lw,4.08 ,6.10 ,3.81,3.79 ,3.77 ,3.86 ,,
F5_Longevity_2023,P147_LW2,M,Lw,M_Lw,4.53 ,6.03 ,4.12,4.07 ,4.17 ,4.11 ,,
F5_Longevity_2023,P147_LW3,M,Lw,M_Lw,4.64 ,6.31 ,3.85,3.83 ,3.85 ,3.88 ,,
F5_Longevity_2023,P147_LW4,M,Lw,M_Lw,3.87 ,5.69 ,3.69,3.65 ,3.66 ,3.75 ,,
F5_Longevity_2023,P147_LW_F1,F,Lw,F_Lw,3.84 ,6.01 ,3.97,3.98 ,3.99 ,3.93 ,,
F5_Longevity_2023,P145_LW5,M,Lw,M_Lw,4.69 ,6.10 ,3.70,3.70 ,3.65 ,3.74 ,,
F5_Longevity_2023,P145_LW_F14,F,Lw,F_Lw,3.39 ,5.79 ,3.76,3.77 ,3.73 ,3.77 ,,
F5_Longevity_2023,P149_SW28,M,Sw,M_Sw,2.70 ,4.93 ,4.27,4.30 ,4.28 ,4.24 ,,
F5_Longevity_2023,P136_SW22,M,Sw,M_Sw,2.06 ,4.42 ,3.81,3.80 ,3.78 ,3.85 ,,
F5_Longevity_2023,P136_SW23,M,Sw,M_Sw,2.63 ,4.57 ,3.65,3.63 ,3.63 ,3.69 ,,
F5_Longevity_2023,P136_SW_F26,F,Sw,F_Sw,2.48 ,4.55 ,3.68,3.69 ,3.66 ,3.68 ,,
F5_Longevity_2023,P136_SW_F27,F,Sw,F_Sw,2.29 ,4.62 ,3.66,3.67 ,3.63 ,3.68 ,,
F5_Longevity_2023,P143_SW10,M,Sw,M_Sw,2.42 ,4.57 ,3.69,3.68 ,3.66 ,3.74 ,,
F5_Longevity_2023,P143_SW_F9,F,Sw,F_Sw,2.29 ,4.40 ,3.31,3.27 ,3.30 ,3.35 ,,
F5_Longevity_2023,P148_SW_F2,F,Sw,F_Sw,2.79 ,4.26 ,3.11,3.07 ,3.11 ,3.14 ,,
F5_Longevity_2023,P148_SW2,M,Sw,M_Sw,2.54 ,4.44 ,3.51,3.52 ,3.47 ,3.54 ,,
F5_Longevity_2023,P152_LW10,M,Lw,M_Lw,3.89 ,6.11 ,3.73,3.77 ,3.70 ,3.71 ,,
F5_Longevity_2023,P152_LW11,M,Lw,M_Lw,3.56 ,5.37 ,3.45,3.42 ,3.50 ,3.42 ,,
F5_Longevity_2023,P152_LW12,M,Lw,M_Lw,3.98 ,6.01 ,3.80,3.84 ,3.76 ,3.80 ,,
F5_Longevity_2023,P152_LW13,M,Lw,M_Lw,3.80 ,5.80 ,3.86,3.86 ,3.88 ,3.85 ,,
F5_Longevity_2023,P152_LW14,M,Lw,M_Lw,3.57 ,5.60 ,3.76,3.80 ,3.73 ,3.74 ,,
F5_Longevity_2023,P152_LW15,M,Lw,M_Lw,4.05 ,6.06 ,3.80,3.81 ,3.86 ,3.74 ,,
F5_Longevity_2023,P152_LW16,M,Lw,M_Lw,3.79 ,5.60 ,3.69,3.66 ,3.70 ,3.72 ,,
F5_Longevity_2023,P152_LW17,M,Lw,M_Lw,4.07 ,6.11 ,3.93,3.91 ,3.93 ,3.96 ,,
F5_Longevity_2023,P152_LW18,M,Lw,M_Lw,3.32 ,6.01 ,3.59,3.56 ,3.61 ,3.61 ,,
F5_Longevity_2023,P152_LW19,M,Lw,M_Lw,3.97 ,5.98 ,3.91,3.91 ,3.90 ,3.91 ,,
F5_Longevity_2023,P152_LW_F8,F,Lw,F_Lw,3.53 ,5.85 ,3.67,3.64 ,3.72 ,3.64 ,,
F5_Longevity_2023,P152_LW_F9,F,Lw,F_Lw,3.22 ,5.55 ,3.61,3.57 ,3.62 ,3.64 ,,
F5_Longevity_2023,P152_LW_F10,F,Lw,F_Lw,3.43 ,5.40 ,3.40,3.40 ,3.39 ,3.41 ,,
F5_Longevity_2023,P152_LW_F11,F,Lw,F_Lw,3.77 ,5.37 ,3.52,3.49 ,3.54 ,3.53 ,,
F5_Longevity_2023,P152_LW_F12,F,Lw,F_Lw,3.48 ,5.27 ,3.51,3.48 ,3.53 ,3.52 ,,
F5_Longevity_2023,P152_LW_F13,F,Lw,F_Lw,3.35 ,5.58 ,3.42,3.44 ,3.42 ,3.41 ,,
F5_Longevity_2023,P152_LW_F14,F,Lw,F_Lw,3.77 ,6.08 ,3.73,3.73 ,3.76 ,3.70 ,,
F5_Longevity_2023,P152_LW_F15,F,Lw,F_Lw,3.52 ,5.71 ,3.68,3.65 ,3.67 ,3.72 ,,
F5_Longevity_2023,P152_LW_F16,F,Lw,F_Lw,3.37 ,5.39 ,3.38,3.34 ,3.41 ,3.39 ,,
F5_Longevity_2023,P152_LW_F17,F,Lw,F_Lw,3.63 ,5.89 ,3.69,3.69 ,3.72 ,3.65 ,,
F5_Longevity_2023,P152_LW_F18,F,Lw,F_Lw,3.41 ,5.41 ,3.51,3.54 ,3.51 ,3.48 ,,
F5_Longevity_2023,P145_LW6,M,Lw,M_Lw,3.66 ,6.16 ,3.78,3.79 ,3.76 ,3.79 ,,
F5_Longevity_2023,P145_LW_F15,F,Lw,F_Lw,3.22 ,5.62 ,3.62,3.62 ,3.62 ,3.61 ,,
F5_Longevity_2023,P143_SW_F10,F,Sw,F_Sw,2.15 ,4.34 ,3.65,3.66 ,3.63 ,3.66 ,,
F5_Longevity_2023,P143_SW_F11,F,Sw,F_Sw,2.30 ,4.70 ,3.83,3.84 ,3.84 ,3.82 ,,
F5_Longevity_2023,P143_SW_F12,F,Sw,F_Sw,2.47 ,4.31 ,3.85,3.87 ,3.81 ,3.86 ,,
F5_Longevity_2023,P148_SW3,M,Sw,M_Sw,2.44 ,4.33 ,3.46,3.42 ,3.49 ,3.48 ,,
F5_Longevity_2023,P136_SW24,M,Sw,M_Sw,2.76 ,4.91 ,4.26,4.24 ,4.27 ,4.26 ,,
F5_Longevity_2023,P136_SW25,M,Sw,M_Sw,2.93 ,4.60 ,3.97,3.98 ,3.96 ,3.96 ,,
F5_Longevity_2023,P136_SW26,M,Sw,M_Sw,2.55 ,4.30 ,3.90,3.94 ,3.88 ,3.87 ,,
F5_Longevity_2023,P148_SW4,M,Sw,M_Sw,2.44 ,4.83 ,3.58,3.58 ,3.55 ,3.61 ,,
F5_Longevity_2023,P143_SW_F13,F,Sw,F_Sw,2.39 ,4.64 ,3.90,3.85 ,3.93 ,3.92 ,,
F5_Longevity_2023,P143_SW_F14,F,Sw,F_Sw,2.77 ,4.90 ,3.90,3.85 ,3.96 ,3.88 ,,
F5_Longevity_2023,P143_SW_F15,F,Sw,F_Sw,2.84 ,4.89 ,3.87,3.92 ,3.85 ,3.85 ,,
